miRNA,117,119,122,123,124,129,130,132,135,141,143,144,18,209,21,215,218,22,220,222,224,231,262,263,267,269,270,30,301,304,309,31,312,313,315,317,32,348,355,358,359,360,37,371,409,41,412,416,42,426,428,429,432,45
hsa-let-7a-2-3p,1.959981361,0,0,0,1.378666729,0,1.194086218,0,0,0,3.392312019,0,0,1.091932012,1.595047694,0,1.871969859,0,2.396341616,2.326302465,0,0,1.867047987,0,0,0,0,1.040913855,3.616882559,4.009227845,1.529703597,1.94655111,1.052531533,0.864281023,0.796956986,0.618029043,0,1.070927907,0,0,0.815033019,0.721077402,1.447961332,0,0.783096666,1.210680467,0,0,0,3.137837173,0,0,0,1.221396305
hsa-let-7a-3p,197.9581175,147.7507523,389.0626139,310.6317976,308.8213472,197.3462688,341.5086584,352.3294451,371.8575457,352.5613012,325.6619538,278.5828101,204.3501052,298.0974392,291.893728,285.196375,412.769354,162.3728028,352.2622176,302.4193204,170.8104286,200.7997855,414.4846531,290.5063344,394.7481907,298.9539475,574.0393347,113.4596102,345.7739727,547.6605236,332.7105323,140.15168,390.4891987,227.305909,251.8384074,262.0443141,163.0834946,463.7117837,454.4377519,401.7295002,234.7295094,439.8572151,127.4205972,208.9240151,327.3344066,231.2399692,207.0877491,243.0608767,257.9735872,210.2350906,267.0993121,171.1808161,320.2585885,249.1648461
hsa-let-7a-5p,184911.5015,225883.1055,164330.4875,207813.9723,189244.7565,170569.5783,183164.4673,224897.5221,178896.5335,320646.3423,211844.7971,232367.7409,154662.0675,175617.6093,195489.0454,231273.6289,206765.6228,112442.4475,268537.636,162915.6142,105922.4306,110201.645,155734.829,135717.9819,155097.647,142064.5174,147511.2255,145519.757,152594.8284,168728.3539,143418.8904,144656.9725,143365.3201,105530.4414,99562.2423,106867.728,121400.13,199502.0888,180663.8922,184121.7942,124062.696,141488.3656,121229.1146,86026.68945,110241.9994,194808.1726,102394.9008,90499.13516,193643.6187,83539.42351,148664.7053,137468.7187,117639.7006,169357.5902
hsa-let-7b-3p,112.6989283,73.14393676,138.09731,188.458622,561.1173585,93.60297336,183.8892776,195.8951715,129.855016,164.8550529,142.4771048,97.64758294,60.37616743,145.2269575,84.53752779,129.8553708,147.8856189,61.78788071,212.076233,173.3095336,107.2186673,64.66433771,110.7781806,112.9137828,101.3941737,93.42310859,150.8963692,83.27310842,160.5895856,192.4429366,100.9604374,64.23618665,136.8290993,84.69954022,62.16264488,101.356763,50.47822453,142.4334116,114.6914326,106.6283465,95.35886318,511.9649553,83.98175725,53.42974812,87.70682665,105.3292006,58.12989448,60.56598896,108.0517643,61.97228416,62.99512077,71.55919361,85.0114331,128.246612
hsa-let-7b-5p,49877.60567,45363.86958,46398.04046,40683.66748,48239.54883,38419.34042,47011.17442,54995.80774,50720.18874,64711.32106,51327.377,45401.33942,29739.13273,46360.15742,39786.86968,45184.81462,51641.09652,24591.57652,63458.72051,37003.33015,24726.843,25411.38303,42758.51065,35061.37393,37000.99811,33524.66008,43707.18611,32587.89007,47141.7239,54055.61719,39535.18945,27837.62743,41338.17595,21577.64001,24470.56424,28791.50098,21116.40035,41712.64197,41438.231,40299.17493,28706.27795,42503.18638,28694.24971,21098.58554,27378.62565,38035.94824,21147.47396,17815.9638,38520.45397,19473.4175,28635.0621,27607.11596,29174.31155,34516.65957
hsa-let-7c-3p,2.939972041,0,5.311435002,7.798287806,4.82533355,3.90012389,1.194086218,7.046588902,0,1.632228246,1.696156009,2.871987733,0,2.183864023,3.190095388,2.427203192,2.807954789,5.747709834,1.198170808,4.652604929,5.91551268,3.403386195,1.244698658,7.673752229,1.968818906,5.338463348,3.165658096,4.163655421,5.063635583,4.009227845,3.824258991,4.866377776,5.262657664,6.049967159,5.578698899,4.944232342,4.853675436,2.141855814,0,5.763694408,4.075165093,2.163232206,2.895922664,4.109980624,5.481676665,3.632041402,2.724838804,2.390762722,10.80517643,3.922296466,1.259902415,7.015607217,2.198571546,3.664188914
hsa-let-7c-5p,180242.8259,221697.8094,160573.9751,202752.8835,183122.0976,166895.6616,177959.4455,219394.1361,174460.214,312557.0191,205396.012,226874.5857,153021.0742,171470.4515,191713.5675,226410.7273,201364.0538,110264.0654,263002.0869,158338.6141,104281.6153,108079.6337,151390.2084,133277.7287,151776.2495,139604.3755,143832.7308,142756.1307,148536.6862,164173.871,140125.4386,142173.1733,140403.4963,103648.0374,97702.94165,104848.0091,119511.0795,194525.4869,176288.3059,179593.2595,122153.8887,138226.2115,119090.4757,84510.79159,107994.512,190680.9629,100547.4601,89170.66801,189548.4568,81999.52992,145714.0138,134611.9635,115120.8704,165710.5008
hsa-let-7d-3p,276.3573719,210.6545379,237.6867163,293.7355073,267.4613453,208.2666157,296.1333822,338.2362673,229.0170282,267.6854324,288.3465216,191.4658489,157.9068994,280.626527,228.0918203,334.9540405,261.1397954,172.431295,283.9664815,238.4460026,198.1696748,161.6608443,248.3173823,228.0200662,265.7905523,235.7821312,259.5839639,227.9601343,305.264888,272.6274935,269.9926848,201.4680399,304.181613,140.8778067,168.9548809,177.3743353,124.2540912,288.0796069,264.0066939,227.0895597,224.9491131,294.9206574,201.2666251,229.4739182,189.5093933,296.6167145,162.5820486,154.602656,260.6748813,211.8040092,196.5447768,223.0963095,168.5571518,246.7220535
hsa-let-7d-5p,6274.880327,7399.240643,5851.873513,7382.379123,7174.581656,6526.467318,6799.126927,7627.227827,6123.254253,9160.064919,7660.688616,7549.498422,6228.033887,5918.271503,8139.528383,7200.298268,7718.13173,4767.725307,7716.220004,7230.14806,5105.087443,5836.807325,9368.846798,8470.72621,8529.90791,7506.769211,7689.383515,4891.254206,7703.959852,7720.169138,7062.641505,6333.104038,7577.174505,5924.64641,6021.010026,6596.842002,5192.461981,10225.21965,7764.393589,8440.35409,6992.9833,7174.720149,5464.606067,5845.077445,7043.954515,6632.107599,6654.964638,6490.92079,7720.298558,6499.245244,8223.383065,7505.296601,7341.030391,6120.416882
